title,first_name,last_name,emp_no
Staff,Narain,Thummel,10913
Senior Staff,Ronghao,Narahara,10920
Senior Engineer,Mara,Bahi,10921
Senior Staff,Hironoby,Atchley,10924
Senior Engineer,Leni,Eppinger,10926
Senior Staff,Gal,Scallan,10927
Senior Engineer,Arch,Minakawa,10930
Senior Engineer,Avishai,Picci,10932
Senior Staff,Mountaz,Schicker,10936
Engineer,Toshimitsu,Larfeldt,10942
Senior Engineer,Berna,Skafidas,10943
Senior Engineer,Remko,Zyda,10944
Senior Staff,Gor,Usery,10947
Senior Staff,Shigeichiro,Wroclawski,10949
Engineer,Arno,Picel,10956
Senior Staff,Eckart,Braunschweig,10965
Senior Engineer,Premal,Noriega,10969
Senior Engineer,Muneo,Papsdorf,10974
Technique Leader,Masako,Schiper,10986
Engineer,Flemming,Baezner,10987
Senior Engineer,Chinya,Deyuan,10988
Senior Staff,Sumali,Candan,10989
Technique Leader,Shin,Foote,10990
Senior Staff,Matk,Rahimi,10996
Senior Engineer,JoAnna,Decleir,11004
Senior Staff,Alper,Axelband,11009
Staff,Taegyun,Speckmann,11012
Senior Engineer,Leon,Huttel,11019
Staff,Srinidhi,Henders,11021
Senior Engineer,Remzi,Cappello,11027
Senior Staff,Ottavia,Walstra,11031
Staff,Erez,Schaaf,11032
Senior Engineer,Lansing,Maliniak,11037
Senior Staff,Jinya,Beidas,11038
Senior Engineer,Gou,Breugel,11042
Senior Staff,Jaques,Demke,11048
Senior Staff,Elvis,Katiyar,11050
Senior Engineer,Przemyslawa,Erol,11051
Staff,Palash,Speel,11056
Senior Staff,Pintsang,Erni,11061
Senior Engineer,Shawna,Vieri,11064
Senior Staff,Shaz,Langford,11066
Senior Engineer,Adib,Raney,11070
Senior Engineer,Kwan,Sigstam,11071
Senior Engineer,Karsten,Belinskaya,11075
Senior Engineer,Piyush,Garigliano,11079
Senior Staff,Barry,Boyle,11081
Senior Staff,Shimshon,Ducloy,11083
Senior Engineer,Greger,Senzako,11084
Senior Engineer,Hailing,Thummel,11085
Senior Engineer,Changho,Jayawardene,11087
Senior Staff,Conal,Henders,11089
Engineer,Souichi,Ramsay,11091
Staff,Narain,Stamatiou,11092
Engineer,Arnd,Covnot,11098
Senior Staff,Berna,Cochrane,11100
Senior Engineer,Aris,Iwayama,11106
Assistant Engineer,Udi,Zastre,11111
Staff,Boaz,Mukaidono,11112
Senior Staff,Shahab,Peng,11113
Senior Engineer,Vugranam,Kakkad,11121
Senior Staff,Xinyu,Menhoudj,11130
Senior Engineer,Kristin,Harnett,11132
Technique Leader,Nalini,Azulay,11133
Senior Engineer,Sachar,Rajcani,11134
Engineer,Hugh,Luca,11137
Senior Staff,Bogdan,Homond,11139
Engineer,Yongdong,Rosen,11143
Senior Staff,Carrsten,Heinisuo,11144
Senior Staff,Ishfaq,Masand,11146
Engineer,Ayonca,Nitsch,11147
Senior Staff,Zhanqiu,Botman,11148
Senior Engineer,Masaki,Hagimont,11158
Senior Engineer,Kauko,Narlikar,11162
Senior Staff,Shmuel,Tetzlaff,11168
Senior Engineer,Minghong,Cannard,11170
Engineer,Akhilish,Milicia,11174
Senior Engineer,Chrisa,dAstous,11177
Senior Engineer,Mitsuyuki,Bojadziev,11180
Engineer,Hausi,Cullers,11181
Senior Staff,Aloys,Baezner,11185
Senior Engineer,Kshitij,Stasinski,11186
Senior Staff,Dante,Bodoff,11189
Engineer,Apostol,Bahr,11192
Senior Staff,Tadahiro,Fordan,11197
Staff,Jouko,Masaki,11201
Technique Leader,Diederik,Covnot,11204
Engineer,Saeed,Gips,11207
Technique Leader,Saniya,Valtorta,11208
Senior Engineer,Yurij,Rissland,11211
Technique Leader,Vugranam,Munoz,11213
Senior Engineer,Kellie,Mawatari,11217
Senior Engineer,Gretta,Ramamoorthy,11229
Senior Staff,Hidefumi,Crelier,11232
Senior Engineer,Sanjit,Waschkowski,11233
Engineer,Kiam,Condotta,11240
Assistant Engineer,Udi,Desikan,11243
Engineer,Randi,Cyre,11249
Senior Staff,Bezalel,Chinal,11251
Senior Engineer,Koldo,Pokrovskii,11253
Staff,Danel,Rindone,11254
Senior Staff,Aris,Maccarone,11258
Senior Engineer,Florina,Rohrbach,11266
Senior Engineer,Shaunak,Zaumen,11267
Senior Engineer,Aimee,Petersohn,11268
Staff,Masanao,Nicolson,11274
Senior Engineer,Hitomi,Eppinger,11275
Senior Engineer,Chuanti,Cherinka,11289
Engineer,Visit,Dredge,11290
Senior Engineer,Souichi,Sichman,11292
Senior Engineer,Tru,Segond,11294
Senior Staff,Abdelkader,Lanzelotte,11295
Senior Engineer,Hironobu,Kenevan,11296
Senior Staff,Mingzeng,Oxenboll,11301
Senior Staff,Shigeaki,Hagimont,11317
Assistant Engineer,Pranas,Marrakchi,11319
Senior Staff,Atilio,McAlpine,11320
Senior Engineer,Nathalie,Pocchiola,11322
Senior Engineer,Kauko,Billingsley,11324
Engineer,Samphel,Rossi,11325
Senior Engineer,Munenori,Plesums,11326
Senior Staff,Kwangsub,Hanratty,11338
Senior Engineer,Flemming,Massonet,11339
Senior Engineer,Aris,Bala,11340
Senior Engineer,Susanne,Erez,11343
Senior Engineer,Anneli,Jonsson,11347
Engineer,Yurii,Hammerschmidt,11349
Senior Staff,Fen,Schach,11360
Engineer,Toshimi,Shinomoto,11365
Senior Staff,Yongmao,Keohane,11373
Senior Staff,Valery,Suomi,11376
Senior Engineer,Kenroku,Pelc,11380
Engineer,Shiv,Ullian,11385
Senior Engineer,Alselm,Assaf,11386
Senior Engineer,Junsik,Junot,11393
Engineer,Anneke,Servieres,11396
Senior Staff,Oscar,Peir,11398
Staff,Huan,Merey,11401
Technique Leader,Bedrich,Borovoy,11404
Senior Staff,Eberhardt,Gini,11406
Engineer,Gro,Vendrig,11410
Engineer,Sanjiv,Anido,11415
Technique Leader,Anneli,Cyne,11417
Senior Staff,Satosi,Cooley,11418
Senior Staff,Tsutomu,Lalonde,11420
Senior Engineer,Josyula,Msuda,11421
Staff,Guangming,Kopetz,11423
Senior Engineer,Renee,Crelier,11425
Senior Staff,Marlo,Aingworth,11441
Senior Engineer,Naftali,Narahara,11446
Senior Engineer,Kotesh,Asser,11449
Senior Engineer,Eben,Rajaraman,11451
Senior Staff,Shigehito,Luby,11452
Senior Staff,Duke,Suomi,11459
Senior Engineer,Mana,Maraist,11460
Senior Engineer,Guttorm,Giaccio,11469
Engineer,Gennady,Akazan,11474
Staff,Manton,Yoshizawa,11476
Staff,Shridhar,Pleszkun,11479
Senior Engineer,Nathan,Picht,11503
Staff,Rance,Picel,11506
Senior Engineer,Aleksander,Feldhoffer,11509
Senior Staff,Otmar,Mahnke,11513
Staff,Ulf,Basawa,11515
Senior Staff,Jinxi,Oxman,11518
Senior Staff,Halsur,Chinen,11519
Engineer,Yuguang,Pezzoli,11523
Senior Engineer,Xiadong,Standera,11524
Staff,Alagu,Boyle,11527
Technique Leader,Zito,Dolinsky,11528
Technique Leader,Radhika,Motley,11531
Technique Leader,Vitaly,Lorch,11533
Senior Staff,DAIDA,Pehl,11537
Senior Engineer,Chanjung,Portugali,11540
Staff,Subhash,Taubenfeld,11554
Senior Staff,Kotesh,Perfilyeva,11555
Senior Staff,Teiji,Mitzlaff,11567
Senior Engineer,Martins,Fujisaki,11568
Senior Engineer,Pranas,Hutton,11573
Engineer,Godehard,Plotkin,11575
Senior Engineer,Mayumi,Deyuan,11577
Senior Engineer,Patricio,Rosenbaum,11581
Senior Engineer,Shem,Zambonelli,11587
Senior Engineer,Gina,Plessier,11589
Senior Staff,Takanari,Kamber,11595
Staff,Yannik,Gunderson,11596
Senior Staff,Somnath,Malabarba,11602
Senior Staff,Herb,Swen,11603
Senior Staff,Perry,Pepe,11606
Engineer,Tomokazu,Foong,11607
Senior Staff,Shem,Isaak,11615
Engineer,Zhilian,Brendel,11616
Senior Engineer,Adil,Gammage,11624
Senior Engineer,Fan,Malinowski,11628
Senior Engineer,Valeri,Coorg,11640
Senior Engineer,Chikako,Rothenberg,11641
Assistant Engineer,Sanjit,Zaiane,11644
Engineer,Lobel,Rubsam,11646
Senior Engineer,Magy,Nitsche,11647
Technique Leader,Shen,Bernardinello,11649
Senior Staff,Gill,Stenning,11660
Senior Staff,Oksana,Brizzi,11664
Senior Staff,Kristian,Marchegay,11667
Technique Leader,Henk,Felder,11673
Engineer,Valeri,Ferriere,11676
Senior Engineer,Fumitake,Benzmuller,11681
Senior Staff,Oksana,Gide,11684
Staff,Domenick,Raczkowsky,11690
Senior Engineer,Hideo,Coorg,11693
Senior Staff,Dante,Rothe,11696
Senior Engineer,Danel,Heusch,11713
Senior Engineer,Sanjoy,Ranft,11732
Senior Engineer,Leszek,Sudbeck,11733
Senior Staff,Amalendu,Picci,11735
Senior Engineer,Shugo,Uchoa,11736
Assistant Engineer,Martina,Garnier,11737
Senior Staff,Koichi,Marrakchi,11746
Engineer,Lihong,Massonet,11748
Senior Staff,Jiafu,Emiris,11751
Engineer,Abdelwaheb,Vakili,11756
Engineer,Yuriy,Liesche,11763
Senior Engineer,Sanjay,Anick,11764
Senior Staff,Zorica,Junet,11765
Senior Staff,Chandrasekaran,Lampe,11769
Senior Engineer,Arumugam,Jakobus,11770
Engineer,Gaurav,Penz,11772
Engineer,Aron,Wroclawski,11774
Senior Engineer,Dhritiman,Fontan,11778
Staff,Shunichi,Thombley,11779
Senior Engineer,Gal,Mamelak,11791
Senior Staff,Chenxi,Thambidurai,11797
Senior Staff,Tommaso,Dayang,11801
Technique Leader,Chriss,Binding,11807
Senior Engineer,Amabile,Bhattacharjee,11810
Senior Staff,Herb,Boissier,11811
Senior Staff,Niranjan,Markovitch,11817
Staff,Sastry,Madeira,11822
Senior Engineer,Weiyi,Iacovou,11823
Assistant Engineer,Chaosheng,Pettis,11829
Engineer,Arto,Zlotek,11832
Senior Staff,Ortrud,Bakhtari,11836
Staff,Elvia,Bugrara,11841
Senior Staff,Moto,Piazza,11842
Senior Engineer,Shawna,Demeyer,11844
Senior Engineer,Fai,Perly,11846
Senior Staff,Zeljko,Kusakabe,11853
Senior Staff,Divier,Farrag,11857
Senior Engineer,Alejandra,Deville,11862
Staff,Pradeep,Kriebel,11864
Engineer,Kwee,Demke,11868
Engineer,Fumino,Luca,11869
Senior Engineer,Nalini,Sommen,11871
Senior Staff,Cheong,Riexinger,11872
Senior Engineer,Leszek,Kobuchi,11876
Senior Staff,Arra,Staelin,11881
Senior Staff,Badri,Azulay,11888
Senior Engineer,Mitchel,Validov,11894
Technique Leader,Shaunak,Benzmuller,11896
Senior Staff,Cordelia,Setlzner,11897
Engineer,Hideo,Boguraev,11906
Senior Engineer,Ashish,Mondadori,11911
Senior Engineer,Miomir,Mawatari,11915
Engineer,Jiakeng,VanScheik,11917
Engineer,Leni,Felcyn,11926
Senior Staff,Gunilla,Chiodo,11931
Senior Engineer,Basil,Erman,11933
Staff,Aruna,Verspoor,11938
Assistant Engineer,Ult,Anido,11940
Senior Engineer,Along,Aumann,11944
Staff,Limsoon,Marakhovsky,11945
Senior Engineer,Yahiko,Nergos,11948
Technique Leader,Martijn,Harbusch,11949
Senior Engineer,Bernt,Haumacher,11951
Engineer,Arup,Morrey,11965
Senior Staff,Sibyl,Beausoleil,11972
Staff,Yechezkel,Pews,11980
Senior Engineer,Jaana,Hedayat,11983
Technique Leader,Erzsebet,Peltason,11989
Senior Staff,Marit,Dalphin,11993
Senior Staff,Sigeru,Fiebach,11994
Senior Engineer,Marko,Dehkordi,12007
Senior Staff,Zhilian,Coorg,12011
Staff,Kensei,Guenter,12015
Senior Engineer,Chikara,Rahimi,12021
Technique Leader,Chuanyi,Eppinger,12023
Staff,Mayumi,Lanzelotte,12024
Senior Engineer,Ingemar,Walstra,12028
Staff,Shuky,Cromarty,12030
Staff,Aemilian,Piazza,12034
Senior Staff,Mads,Ratzlaff,12036
Senior Staff,Arunas,Katzenelson,12037
Senior Staff,Bluma,Kermarrec,12040
Staff,Masaki,Lubachevsky,12043
Senior Engineer,Rance,Hemaspaandra,12044
Assistant Engineer,Jordanka,Ligten,12047
Engineer,Yuchang,Tchuente,12050
Senior Engineer,Yechezkel,Pelc,12053
Staff,Odysseas,Braccini,12054
Technique Leader,Toshimi,Antonakopoulos,12060
Senior Staff,Margareta,Worfolk,12062
Senior Engineer,Lein,Bale,12063
Senior Engineer,Ayonca,Burnard,12069
Technique Leader,Ger,Shokrollahi,12070
Senior Staff,Karlis,Siprelle,12076
Senior Staff,Panayotis,Feinberg,12080
Senior Staff,Xinan,Yamaashi,12082
Senior Staff,Bilhanan,Socorro,12089
Engineer,Shigenori,Angelopoulos,12090
Senior Engineer,Lansing,Cunliffe,12091
Senior Staff,Kauko,Unno,12092
Senior Engineer,Evgueni,Oxenboll,12093
Senior Staff,Weiru,Pearson,12094
Senior Staff,Nobuyoshi,Kuzuoka,12099
Staff,Aron,Erde,12102
Senior Staff,Satyanarayana,Avouris,12112
Staff,Shiv,Rubsam,12114
Senior Engineer,Satoru,Krone,12122
Senior Staff,Xiahua,Syrzycki,12123
Engineer,Shounak,Erman,12125
Engineer,Takahito,Brender,12138
Senior Staff,Xudong,Paciorek,12140
Senior Staff,Suebskul,Grandbois,12149
Senior Engineer,Shem,Perly,12159
Senior Staff,Aamer,Garrabrants,12160
Engineer,Muneo,Chachaty,12164
Senior Engineer,Xiaobin,Maquelin,12165
Senior Staff,Arnd,Salverda,12168
Senior Staff,Jianhua,Llado,12172
Senior Engineer,Slavian,Plavsic,12174
Engineer,Harngdar,Iisaku,12183
Senior Staff,Guther,Nooteboom,12186
Senior Engineer,Abdulah,Engberts,12190
Engineer,Rosella,Bazzichi,12191
Senior Engineer,Feiyu,Klyachko,12192
Senior Engineer,Sushant,Rossi,12205
Senior Engineer,Barton,Janetzko,12206
Senior Staff,Vugranam,Ashish,12210
Senior Staff,Kwangho,Brizzi,12213
Engineer,Aloke,Mansanne,12216
Senior Engineer,Yaghout,Strooper,12218
Senior Staff,Junsik,Gadepally,12219
Senior Engineer,Vincent,Melter,12221
Senior Staff,Abdelwaheb,Holburn,12222
Senior Engineer,Niteen,Koyama,12223
Engineer,Yuriy,Bellone,12230
Senior Engineer,Nishit,Bharadwaj,12231
Staff,Honesty,Haumacher,12235
Engineer,Satoru,Wolniewicz,12242
Technique Leader,Subbu,Penttonen,12247
Senior Engineer,Eldridge,Sadowski,12249
Senior Engineer,Kerhong,Aloia,12250
Senior Staff,Guadalupe,Reghbati,12256
Senior Engineer,Kankanahalli,Eiter,12258
Engineer,Mart,Pagter,12264
Senior Engineer,Mohammed,Whitcomb,12269
Senior Staff,Shakhar,Kornyak,12270
Senior Staff,Behnaam,Grandbois,12272
Senior Staff,Jaideep,Uehara,12273
Senior Engineer,Hisao,Langford,12281
Engineer,Tadahiro,Delgrange,12282
Senior Staff,Masamitsu,Koyama,12291
Senior Engineer,Tetsurou,Rodham,12298
Senior Staff,Mototsugu,Cronau,12308
Senior Engineer,Susanne,Lubachevsky,12311
Engineer,Hyuncheol,Duclos,12316
Staff,Weiyi,Crabtree,12317
Senior Engineer,DAIDA,Bruckman,12327
Staff,Atilio,Prampolini,12328
Staff,Kagan,Besselaar,12338
Staff,Pranay,Czaja,12339
Senior Engineer,Rasiah,Luga,12341
Senior Staff,Sorina,Slaats,12343
Senior Engineer,Vidar,Hutton,12355
Assistant Engineer,Neelam,Cummings,12364
Senior Engineer,Kamakshi,Bisiani,12365
Senior Staff,Gor,Dechter,12368
Senior Staff,Mooi,Driscoll,12373
Technique Leader,Kazuhisa,Serna,12379
Senior Staff,Amalendu,Klerer,12381
Senior Engineer,Arumugam,Hebert,12388
Engineer,Stevo,Reeken,12394
Senior Staff,Sanjit,Felder,12395
Senior Staff,Mihalis,Luga,12399
Senior Staff,Shao,Ibel,12411
Senior Engineer,Hugh,Gadepally,12413
Senior Engineer,Dannz,Spelt,12417
Senior Engineer,Toshimi,Gulik,12421
Senior Staff,Berhard,Demos,12422
Technique Leader,Shahaf,Valtorta,12426
Senior Staff,Zissis,Daescu,12427
Engineer,Xumin,Bernardinello,12434
Senior Staff,Yongmao,Mondadori,12438
Senior Engineer,Sanjeeva,Perng,12450
Engineer,Hiroyasu,Francisci,12452
Staff,Kerryn,Farris,12454
Staff,Shai,Milicic,12464
Senior Staff,Cullen,Nations,12466
Staff,Ioana,Baezner,12468
Senior Engineer,Filipe,Roison,12475
Staff,Tetsushi,Schade,12480
Senior Staff,Mona,Reghbati,12487
Senior Engineer,Etsuo,Gerteisen,12488
Senior Engineer,Arnould,Munck,12489
Senior Engineer,Jackson,Muchinsky,12490
Senior Engineer,Kristinn,Hammerschmidt,12492
Senior Staff,Stein,Penz,12497
Senior Staff,Izaskun,Lamba,12499
Senior Staff,Morrie,Matheson,12501
Senior Engineer,Danil,VanScheik,12502
Engineer,Adly,Rosaz,12504
Engineer,Gay,Rodite,12506
Senior Staff,Rutger,Krzyzanowski,12509
Engineer,Tomofumi,Melter,12514
Senior Engineer,Pranav,Wilharm,12515
Engineer,Goetz,Basart,12520
Technique Leader,Trygve,Zhang,12522
Senior Staff,Tonia,Casley,12523
Engineer,Tetsushi,Demeyer,12524
Senior Staff,Conor,Cincotta,12528
Senior Engineer,Yongmao,Gerlach,12534
Senior Staff,Avishai,Gonthier,12537
Senior Staff,Poornachandra,Bresenham,12540
Senior Staff,Shih,Nanard,12541
Senior Staff,Kazuhide,Bouloucos,12542
Senior Engineer,Jeane,Tzvieli,12551
Senior Staff,Aral,Vesna,12553
Assistant Engineer,Spyrose,DuCasse,12555
Senior Engineer,Stafford,Kopetz,12557
Senior Engineer,Danco,Niizuma,12558
Engineer,Honesty,Ducloy,12563
Staff,Remco,Nitsche,12564
Engineer,Abdelaziz,Candan,12571
Engineer,Mong,Gelosh,12574
Senior Engineer,Oguz,Tasistro,12586
Senior Engineer,Yagil,Kenevan,12588
Senior Engineer,Anoosh,Chleq,12589
Senior Staff,Gita,Rosenbaum,12590
Senior Staff,Breannda,Roisin,12596
Senior Staff,Kazuhito,Petereit,12597
Senior Engineer,Ghassan,Simkin,12601
Staff,Utpal,Roison,12603
Senior Staff,Nectarios,Mondadori,12608
Staff,Chandrasekaran,Thimonier,12612
Senior Staff,Shawna,Rusterholz,12617
Senior Staff,Raimond,Scharstein,12623
Senior Engineer,Gill,Comyn,12626
Senior Staff,Sreekrishna,Falco,12630
Senior Engineer,Xinyu,Restivo,12635
Senior Staff,Yuuichi,Debuse,12636
Engineer,Yuqun,Seiwald,12638
Senior Engineer,Zeljko,Schapire,12639
Senior Staff,Suebskul,Gips,12642
Senior Engineer,Bernt,Jayawardene,12644
Staff,Kyoichi,Decaestecker,12645
Senior Staff,Pragnesh,Bael,12651
Senior Staff,Seshu,Morton,12656
Engineer,Leucio,Alvarado,12662
Technique Leader,Nobuyoshi,Stellhorn,12663
Staff,Zhonghua,Parveen,12664
Engineer,Stamatina,Prenel,12666
Engineer,Seongbae,Alameldin,12670
Senior Engineer,Mayumi,Varman,12672
Staff,Bader,Staudhammer,12680
Staff,Weicheng,Badache,12687
Senior Engineer,Luerbio,Boudaillier,12689
Senior Engineer,Oddvar,Gils,12691
Senior Staff,Uri,Brizzi,12697
Staff,Gregory,Zastre,12707
Senior Engineer,Ronghao,Botman,12709
Staff,Honglan,Showalter,12715
Staff,Tzu,Jiafu,12717
Senior Staff,Elliott,Cheshire,12722
Senior Staff,Inderjeet,Flexer,12725
Senior Engineer,Fumitake,Panwar,12726
Senior Engineer,Nahla,Rahier,12729
Senior Staff,Yongmao,Waymire,12731
Senior Staff,Mara,Takanami,12732
Senior Engineer,Gil,Frijda,12734
Senior Engineer,Heekeun,Lunn,12746
